trial,status,error,method,lr,dropout,weight_decay,logq_weight,tune_epochs,val_subset_size,val_full_size,final_train_loss,val_HR@50,val_overall_HR@10,val_overall_NDCG@10,val_overall_HR@50,val_overall_NDCG@50,val_head_HR@10,val_head_NDCG@10,val_head_HR@50,val_head_NDCG@50,val_tail_HR@10,val_tail_NDCG@10,val_tail_HR@50,val_tail_NDCG@50,val_CatalogCoverage@10,val_TailCoverage@10,val_AvgPopularity@10,val_TailRatio@10,val_Personalization@10,val_CatalogCoverage@50,val_TailCoverage@50,val_AvgPopularity@50,val_TailRatio@50,val_Personalization@50,val_count_overall,val_count_head,val_count_tail
95,ok,,LogQ,0.01,0.5,0.001,1.0,3,7102,7102,8.552850145871947,0.8589129822585186,0.11264432554210081,0.05632095331256539,0.8589129822585186,0.2111772355440146,0.20050125313283207,0.1002484737909372,1.5288220551378446,0.37588489394325614,0.0,0.0,0.0,0.0,0.05430683360989592,0.0,4.658480783748298,0.0,3.0478098701477108,0.21722733443958367,0.0,4.51441421875494,0.0,2.5016000578370945,7102,3990,3112
235,ok,,LogQ,0.0001,0.9,0.01,0.1,3,7102,7102,8.328419497223939,0.8448324415657561,0.14080540692762603,0.06363364913179288,0.8448324415657561,0.21504035166893254,0.2255639097744361,0.08820204915638924,1.4536340852130327,0.3522321173820065,0.032133676092544985,0.032133676092544985,0.06426735218508997,0.03914216876560191,0.05128978729823502,0.011313923668728316,3.7383491565909566,29.93241340467474,2.635318041164203,0.21421028812792275,0.10182531301855482,3.8472622931654348,35.340467473951,4.644953406120667,7102,3990,3112
13,ok,,LogQ,0.1,0.3,0.0,0.1,3,7102,7102,8.129252797081357,0.8307519008729934,0.09856378484933823,0.039311308679364956,0.8307519008729934,0.18791960290477136,0.15037593984962408,0.057440830636804496,1.3533834586466165,0.3016890072898405,0.032133676092544985,0.016066838046272493,0.16066838046272494,0.04205201823368344,6.619399607783979,4.974355106350883,3.2659975743097363,49.62123345536469,91.85635500745153,17.728164127319353,13.867099109971337,3.179993095204473,51.33596170092931,90.94365439940456,7102,3990,3112
158,ok,,LogQ,0.001,0.7,0.0,1.0,3,7102,7102,8.594628269169606,0.8025908194874682,0.07040270346381301,0.0378689752844234,0.8025908194874682,0.18562119643687333,0.12531328320802004,0.06740487781202381,1.4285714285714286,0.33039642533701113,0.0,0.0,0.0,0.0,0.10559662090813093,0.0,3.8161253386505223,0.0,2.42341274472746,0.3741137426459496,0.0,4.0395535787427725,0.0,2.960555172658441,7102,3990,3112
194,ok,,LogQ,0.0001,0.3,0.0,1.0,3,7102,7102,8.575989859444755,0.8025908194874682,0.09856378484933823,0.04684286584333565,0.8025908194874682,0.20019401829123867,0.17543859649122806,0.08337795318781198,1.4285714285714286,0.3563353177705206,0.0,0.0,0.0,0.0,0.5551365213456027,0.0,4.405213449732406,0.0,25.86419640722344,1.5748981746869815,0.0,4.414409875965241,0.0,17.981592067561536,7102,3990,3112
145,ok,,LogQ,0.001,0.5,0.0,0.1,3,7102,7102,8.314257070320805,0.8025908194874682,0.23936919177696422,0.10561532943297569,0.8025908194874682,0.21457055217250243,0.40100250626566414,0.17719609369064016,1.3283208020050126,0.3556035265038381,0.032133676092544985,0.013839221017782554,0.12853470437017994,0.03374742634280143,0.8870116156283,0.6147231860009051,3.2940901144097934,55.95043649676148,64.61993545199368,3.086438376829084,2.179815960174989,3.190816559081476,56.59194593072374,62.58558155012535,7102,3990,3112
71,ok,,LogQ,0.01,0.1,0.001,1.0,3,7102,7102,8.470342045738583,0.7603491974091805,0.16896648831315123,0.10968484040498076,0.7603491974091805,0.2372522355678524,0.30075187969924816,0.19523351793387805,1.3283208020050126,0.4175877680531271,0.0,0.0,0.032133676092544985,0.006037976372400629,0.05128978729823502,0.0,4.709913810370935,0.0,3.038889220032426,0.2262784733745663,0.003771307889576105,4.650218547493798,1.994367783722895,2.7282040824565756,7102,3990,3112
198,ok,,LogQ,0.0001,0.3,0.1,10.0,3,7102,7102,25.11136224967282,0.6899464939453674,0.16896648831315123,0.061745812370152926,0.6899464939453674,0.17448335180751587,0.2756892230576441,0.1026597185015131,1.1278195488721803,0.2855327638250807,0.032133676092544985,0.009288715498646783,0.12853470437017994,0.03210316094951986,0.042238648363252376,0.03017046311660884,3.7203520848448846,50.90819487468319,1.9584757101849148,0.19309096394629657,0.10936792879770706,3.552231886774056,43.933258237116306,2.0048127252395798,7102,3990,3112
167,ok,,LogQ,0.001,0.7,0.001,1.0,3,7102,7102,8.643660733488952,0.6758659532526049,0.16896648831315123,0.08823665622840289,0.6758659532526049,0.19016447290104596,0.30075187969924816,0.15705682519652064,1.2030075187969926,0.3384832297100823,0.0,0.0,0.0,0.0,0.05128978729823502,0.0,4.593871123546867,0.0,3.1498195307350985,0.21119324181626187,0.0,4.391549161509244,0.0,2.1960859943691236,7102,3990,3112
178,ok,,LogQ,0.001,0.9,0.001,0.1,3,7102,7102,8.324621596303928,0.6336243311743172,0.14080540692762603,0.062099501428608234,0.6336243311743172,0.15914195724757263,0.20050125313283207,0.0604086865027508,1.0025062656641603,0.21887370572914977,0.06426735218508997,0.06426735218508997,0.16066838046272494,0.08255787098745289,0.12369889877809623,0.06788354201236989,3.8289217823509842,20.085891298225853,1.8333296253188136,0.2624830291144969,0.19610801025795746,3.278976043007309,46.6406646015207,3.891972093046492,7102,3990,3112
26,ok,,LogQ,0.1,0.5,0.0,1.0,3,7102,7102,8.431205717073817,0.6195437904815545,0.12672486623486343,0.05064308703196538,0.6195437904815545,0.15217595283421842,0.2255639097744361,0.09014215641629526,1.1027568922305764,0.2708655681775988,0.0,0.0,0.0,0.0,0.042238648363252376,0.0,4.214105473623878,0.0,1.8775612812851783,0.1870568713229748,0.0,4.222676550764507,0.0,1.7214135776228878,7102,3990,3112
